Month,Mkt-RF,SMB,HML,RMW,CMA,RF,JPM
201101,1.98,-2.31,0.61,-0.64,0.81,0.01,5.930564507323099
201102,3.48,1.65,1.18,-1.83,0.84,0.01,4.0034633064408345
201103,0.46,2.56,-1.84,1.73,-0.07,0.01,-1.2736602938341235
201104,2.9,-0.53,-2.44,1.12,-0.86,0.0,-1.019531693437148
201105,-1.27,-0.72,-1.85,1.92,-1.43,0.0,-4.723884644357179
201106,-1.74,0.06,-0.2,2.27,-1.42,0.0,-5.31914739581949
201107,-2.35,-1.11,-0.91,2.68,-1.73,0.0,-1.1968793634271724
201108,-5.96,-3.09,-2.43,3.41,-0.26,0.01,-6.5841228076038325
201109,-7.57,-3.49,-1.53,1.99,0.15,0.0,-19.808309187358585
201110,11.34,3.25,0.06,-2.25,-0.73,0.0,15.405033535870771
201111,-0.27,-0.3,-0.52,1.94,1.44,0.0,-10.119020010965585
201112,0.75,-0.29,1.54,1.06,2.47,0.0,7.361975353706862
201201,5.05,2.02,-0.93,-2.06,-1.48,0.0,12.180449124326632
201202,4.4,-1.67,0.42,-0.36,-0.08,0.0,5.958372051313554
201203,3.11,-0.48,1.19,-0.61,0.7,0.0,17.176316970835124
201204,-0.84,-0.5,-0.77,1.3,0.66,0.0,-6.524570280202013
201205,-6.17,-0.08,-0.95,2.03,2.36,0.01,-22.37621586191603
201206,3.9,0.89,0.55,-1.06,0.45,0.0,7.7827564829189955
201207,0.79,-2.81,-0.06,1.04,0.01,0.0,0.7556860481263028
201208,2.54,0.44,1.23,-1.5,-0.86,0.01,4.016862652141827
201209,2.73,0.57,1.62,-1.3,1.56,0.01,8.983006822585104
201210,-1.76,-0.83,3.52,-1.4,2.52,0.01,2.954440950936198
201211,0.78,0.4,-0.86,0.38,0.81,0.01,-0.7216197021133863
201212,1.18,1.92,3.48,-1.72,0.8,0.01,7.0250437915668975
201301,5.57,0.42,1.01,-2.01,1.52,0.0,7.0047695802983645
201302,1.29,-0.25,0.21,-0.59,0.61,0.0,4.688764764580333
201303,4.03,0.88,-0.22,0.27,1.41,0.0,-2.9844657695500043
201304,1.56,-2.24,0.44,0.39,0.43,0.0,3.2659154178455996
201305,2.81,2.04,2.67,-2.0,-0.95,0.0,12.081881977185716
201306,-1.2,1.54,-0.05,-0.28,-0.06,0.0,-3.2973092713471375
201307,5.65,1.75,0.58,-1.35,0.57,0.0,5.569247343947459
201308,-2.71,-0.03,-2.73,0.71,-2.17,0.0,-8.669512077630593
201309,3.77,2.65,-1.18,-0.54,-1.32,0.0,2.2956624908885725
201310,4.17,-1.5,1.22,2.75,0.89,0.0,-0.2902146814461659
201311,3.12,1.44,0.19,0.26,0.06,0.0,11.838502471287192
201312,2.8,-0.44,0.0,-0.58,0.08,0.0,2.2020004283961114
201401,-3.3,0.6,-1.99,-3.91,-1.54,0.0,-5.335174355151762
201402,4.68,0.13,-0.35,-0.25,-0.54,0.0,3.3085994289084875
201403,0.41,-1.13,4.9,2.02,1.92,0.0,6.84618160840702
201404,-0.19,-4.07,1.22,3.4,0.93,0.0,-7.7911345615426
201405,2.04,-1.86,-0.1,-0.09,-0.96,0.0,-0.10677659608169243
201406,2.61,3.06,-0.71,-1.83,-1.91,0.0,3.689089974912352
201407,-2.03,-4.2,-0.08,0.93,0.51,0.0,0.0867791958630626
201408,4.24,0.29,-0.57,-0.64,-0.69,0.0,3.807148714782982
201409,-1.96,-3.66,-1.47,1.2,-0.59,0.0,1.3288468044356572
201410,2.51,3.66,-1.63,-0.39,0.21,0.0,0.3984198375114545
201411,2.56,-2.3,-3.13,1.57,0.14,0.0,0.14107189222829497
201412,-0.05,2.83,2.12,-1.21,0.9,0.0,4.022593208216008
201501,-3.09,-0.93,-3.45,1.58,-1.64,0.0,-13.103208274756085
201502,6.14,0.36,-1.79,-1.1,-1.75,0.0,13.413387615568716
201503,-1.09,3.08,-0.38,0.07,-0.62,0.0,-1.1422882246659105
201504,0.6,-3.01,1.8,0.05,-0.62,0.0,4.423902336634455
201505,1.38,0.82,-1.11,-1.76,-0.83,0.0,4.674681345932052
201506,-1.54,2.9,-0.82,0.35,-1.54,0.0,3.010052523092188
201507,1.57,-4.58,-4.16,0.31,-2.44,0.0,1.1363664540619434
201508,-6.02,0.29,2.75,0.66,1.29,0.0,-5.852976949207389
201509,-3.06,-2.8,0.55,1.8,-0.59,0.0,-4.882971035250339
201510,7.75,-2.06,-0.47,0.95,0.61,0.0,5.379675948264828
201511,0.57,3.3,-0.43,-2.65,-1.06,0.0,4.530950178230397
201512,-2.15,-2.95,-2.57,0.34,0.12,0.01,-0.9848345488136523
201601,-5.74,-3.44,2.08,2.78,3.05,0.01,-9.89941350168674
201602,-0.07,0.87,-0.61,3.31,1.94,0.02,-4.763422491957893
201603,6.95,1.0,1.22,0.68,0.01,0.02,5.166526907056588
201604,0.91,1.23,3.22,-2.85,1.77,0.01,6.710707054284736
201605,1.78,-0.62,-1.62,-1.1,-2.54,0.01,4.0298891356277835
201606,-0.03,0.42,-1.49,1.45,1.9,0.02,-4.81547280746071
201607,3.94,2.47,-1.24,1.31,-1.16,0.02,2.9249945834362
201608,0.49,1.66,3.17,-1.85,-0.36,0.02,6.319608765994998
201609,0.27,1.81,-1.19,-2.18,0.03,0.02,-1.3681635840922879
201610,-2.01,-4.02,4.11,0.99,0.25,0.02,3.989641776821904
201611,4.85,6.96,8.29,-0.24,3.71,0.01,16.58367985220543
201612,1.81,0.44,3.47,1.24,-0.32,0.03,7.6037888662267425
201701,1.94,-1.44,-2.76,-0.51,-1.06,0.04,-1.9637357527751576
201702,3.55,-2.3,-1.5,0.45,-1.8,0.04,7.6303566848493
201703,0.17,0.75,-3.33,0.63,-0.95,0.03,-3.0978014102384908
201704,1.08,0.41,-2.05,1.79,-1.6,0.05,-1.0063090216365034
201705,1.07,-2.99,-3.82,0.99,-1.66,0.06,-5.092119138197332
201706,0.78,2.52,1.5,-2.26,0.04,0.06,11.199846736293832
201707,1.88,-1.64,-0.23,-0.75,-0.15,0.07,0.3676791667946467
201708,0.18,-1.83,-2.13,0.2,-2.38,0.09,-0.5367013867542224
201709,2.49,4.76,3.15,-1.54,1.63,0.09,4.99306588087033
201710,2.25,-1.91,0.13,0.92,-3.14,0.09,5.249742869160347
201711,3.12,-0.38,-0.09,3.19,-0.1,0.08,4.413581497011756
201712,1.06,-1.05,0.05,0.73,1.79,0.09,2.2253533113248416
201801,5.58,-3.21,-1.32,-0.75,-1.05,0.11,8.05346208823109
201802,-3.64,0.34,-1.1,0.53,-2.36,0.11,0.2631920546228951
201803,-2.35,3.61,-0.21,-0.41,0.08,0.12,-4.907868331217727
201804,0.29,0.89,0.53,-2.42,1.24,0.14,-1.2221147537121713
201805,2.63,4.71,-3.14,-1.98,-1.49,0.14,-1.2682882564121578
201806,0.49,0.77,-2.33,0.83,0.2,0.14,-2.765950076561978
201807,3.2,-1.93,0.49,1.53,0.31,0.16,10.156707608715259
201808,3.46,0.65,-3.91,-0.29,-2.57,0.16,0.059812586812717644
201809,0.06,-2.49,-1.62,0.65,1.36,0.15,-1.6685942852618871
201810,-7.64,-4.38,3.38,1.03,3.6,0.19,-3.5753109733085306
201811,1.71,-0.81,0.36,-0.61,0.4,0.18,2.5246598446646584
201812,-9.55,-2.81,-1.92,-0.03,0.24,0.19,-12.394324652812282
201901,8.36,2.91,-0.39,-0.73,-1.65,0.21,5.813337475004542
201902,3.42,1.72,-2.66,0.16,-1.54,0.18,1.4697782762435299
201903,1.1,-3.52,-4.14,0.88,-0.9,0.19,-3.189214504734693
201904,3.97,-1.15,2.13,1.61,-2.18,0.21,14.429900413763884
201905,-6.92,-1.56,-2.45,-0.48,1.76,0.21,-8.205847224076535
201906,6.92,0.37,-0.64,0.89,-0.42,0.18,5.331510325158464
201907,1.22,-1.82,0.5,-0.13,0.37,0.19,3.566707526552572
201908,-2.55,-3.25,-4.77,0.53,-0.62,0.16,-4.7826292656599385
201909,1.42,0.29,6.76,1.82,3.38,0.18,6.947251872617602
201910,2.07,0.25,-1.92,0.43,-1.03,0.15,5.99325145042216
201911,3.87,0.39,-2.0,-1.64,-1.14,0.12,6.20044675250909
201912,2.76,0.99,1.73,0.05,1.19,0.14,5.658371527963409
